term,Perussuomalaiset freq,Vihreä liitto freq,Vasemmistoliitto freq,Suomen Kristillisdemokraatit (KD) freq,Kansallinen Kokoomus freq,Suomen Sosialidemokraattinen Puolue freq,Suomen Keskusta freq,Kokoomus_score,Perus_score,Keskusta_score,Krist_score,SDP_score,Vasen_score,Vihreä_score
kannat panost,0,1,0,0,1,1,0,0.5428636905705958,0.4463661295507027,0.4437835904887715,0.4489748147580188,0.5529157745194367,0.4471780008683319,0.518001113842324
panost suomi,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
suomi vanhen,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vanhen mut,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
mut vanh,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
vanh nuortuv,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
nuortuv myös,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
myös eläkeläist,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
eläkeläist on,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
on siis,0,0,0,0,0,2,0,0.47205054999834195,0.4729733576732623,0.471663263683927,0.47429352054303964,0.7435932927413631,0.47338367184447067,0.4706991160842901
siis voitav,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
voitav tehd,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
haluav,1,1,0,0,0,1,1,0.4175861232784803,0.5255447649305837,0.5238201307920806,0.42411802019759914,0.5347585951217267,0.421466107045067,0.5
työllisyysast,0,0,0,0,3,3,1,0.7797479887006182,0.34578034713937544,0.4101846116854644,0.352976367862582,0.8205129196002936,0.3480274546425687,0.3335138446041932
jos haluav,1,0,0,0,0,1,0,0.47205054999834195,0.5670297407042129,0.471663263683927,0.47429352054303964,0.574106966331107,0.47338367184447067,0.4706991160842901
haluav työllisyysast,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
työllisyysast nousu,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
nousu â,0,0,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5878686395792576,0.5,0.5
